review_text,date,rating,service_type,return_customer
Exceptional service from start to finish. The tailored suit fits like a second skin. The lining detail and hand stitching are remarkable. Worth every dollar spent.,2025-01-10,5,Wedding Suit,True
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-01-13,5,Business Suit,False
Great tailoring work. The suit fits well and draws compliments. My only minor note is that the initial consultation could cover more style options. Final result is really good.,2025-01-23,4,Wedding Suit,False
Reasonable quality tailoring but I found the pricing high for what was delivered. The suit is good but I expected more precision in the fit given the bespoke price point.,2025-01-25,3,Wedding Suit,False
Excellent from consultation to collection. Suresh has a remarkable eye for proportion and fit. My slim-fit business suit is exactly what I envisioned. Truly bespoke tailoring.,2025-01-28,5,Wedding Suit,True
"Exceptional bespoke tailoring that has made me rethink everything I knew about suits. The fit is transformative, the fabric divine. An experience I will treasure and repeat.",2025-02-03,5,Formal Evening,False
"Exceptional bespoke tailoring that has made me rethink everything I knew about suits. The fit is transformative, the fabric divine. An experience I will treasure and repeat.",2025-02-12,5,Business Suit,True
World-class tailoring at Far East Plaza. The hand-stitched lapels and surgeon's buttonholes set this apart from anything I have bought ready-to-wear. A genuine luxury experience.,2025-02-16,5,Wedding Suit,False
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-02-20,5,Business Suit,False
The quality is okay but not worth the price or the wait. Communication was poor throughout and I had to chase for updates multiple times. The fit was also not as precise as expected.,2025-02-20,2,Casual Blazer,True
Outstanding quality and attention to detail. Suresh took the time to understand exactly what I needed for my wedding. The final suit exceeded all expectations. Truly bespoke.,2025-02-23,5,Business Suit,True
The quality of the wool fabric is extraordinary. Suresh recommended an Italian cloth that has proven incredibly durable and elegant. My suit looks as good as the day I collected it.,2025-03-02,5,Alterations,True
Good bespoke tailoring experience. Suresh is clearly skilled and the suit is well constructed. The fabric selection is impressive. Just wish the process was slightly faster.,2025-03-05,4,Formal Evening,True
Disappointed with the experience. The turnaround time was two weeks longer than promised and the suit still required significant alterations at collection. Expected much better.,2025-03-14,2,Formal Evening,False
Decent quality but disappointing given the price and reputation. My suit took much longer than promised and needed two rounds of alterations. Service needs to be more consistent.,2025-03-15,3,Wedding Suit,True
Absolutely stunning craftsmanship. Suresh and the team at Picadilly Tailors created the most perfectly fitted suit I have ever worn. The fabric quality is exceptional and every detail is immaculate.,2025-03-17,5,Wedding Suit,True
"The finest bespoke tailoring in Singapore. My black tie tuxedo is a work of art. The shawl lapel, the silk lining, the perfect drape — nothing comes close at this price point.",2025-03-17,5,Formal Evening,True
Good bespoke tailoring experience. Suresh is clearly skilled and the suit is well constructed. The fabric selection is impressive. Just wish the process was slightly faster.,2025-03-23,4,Wedding Suit,True
Good bespoke tailoring experience. Suresh is clearly skilled and the suit is well constructed. The fabric selection is impressive. Just wish the process was slightly faster.,2025-04-01,4,Wedding Suit,True
"Outstanding value for a bespoke suit of this quality. The fabric is premium, the construction superb, and the fit perfect. I have recommended Picadilly Tailors to all my colleagues.",2025-04-02,5,Wedding Suit,True
"The finest bespoke tailoring in Singapore. My black tie tuxedo is a work of art. The shawl lapel, the silk lining, the perfect drape — nothing comes close at this price point.",2025-04-02,5,Business Suit,False
Five-star service and product. The staff are incredibly knowledgeable about fabrics and styles. My evening tuxedo was completed to the highest standard. I will return without hesitation.,2025-04-06,5,Business Suit,False
Really happy with my corporate suit. The fit is excellent and the quality is apparent. I had to visit for one adjustment but the team were accommodating and professional about it.,2025-04-07,4,Wedding Suit,True
Excellent from consultation to collection. Suresh has a remarkable eye for proportion and fit. My slim-fit business suit is exactly what I envisioned. Truly bespoke tailoring.,2025-04-22,5,Business Suit,True
"Came here for a special event suit and left with the best piece of clothing I have ever owned. The bespoke fit, the quality lining, the hand-finished details — absolutely exceptional.",2025-04-24,5,Casual Blazer,False
Good bespoke service. My suit is well made and I have received several compliments. The final fitting took one small adjustment. Suresh handled it with skill and good humour.,2025-04-26,4,Casual Blazer,True
Solid bespoke tailoring. The suit construction is excellent and the fabric is quality wool. Suresh's expertise is clear. The experience was slightly less personal than I expected.,2025-04-26,4,Casual Blazer,True
Exceptional service from start to finish. The tailored suit fits like a second skin. The lining detail and hand stitching are remarkable. Worth every dollar spent.,2025-04-27,5,Business Suit,True
Returned for my third suit and the standard remains impeccable. The staff remember my preferences and the quality is consistent. This is what loyalty to a tailor feels like.,2025-05-07,5,Casual Blazer,True
Good bespoke tailoring experience. Suresh is clearly skilled and the suit is well constructed. The fabric selection is impressive. Just wish the process was slightly faster.,2025-05-07,4,Business Suit,True
"Outstanding value for a bespoke suit of this quality. The fabric is premium, the construction superb, and the fit perfect. I have recommended Picadilly Tailors to all my colleagues.",2025-05-09,5,Formal Evening,False
"Outstanding value for a bespoke suit of this quality. The fabric is premium, the construction superb, and the fit perfect. I have recommended Picadilly Tailors to all my colleagues.",2025-05-10,5,Wedding Suit,False
Exceptional service from start to finish. The tailored suit fits like a second skin. The lining detail and hand stitching are remarkable. Worth every dollar spent.,2025-05-20,5,Wedding Suit,True
Cannot recommend highly enough. The team invested real time in understanding my body shape and preferences. The tailored result is magnificent. Best money I have ever spent on clothing.,2025-05-22,5,Formal Evening,False
Some good and some not so good. The fabric quality is decent and Suresh is knowledgeable. But the suit needed three fittings to get right which is unusual for bespoke tailoring.,2025-05-24,3,Wedding Suit,False
Exceptional service from start to finish. The tailored suit fits like a second skin. The lining detail and hand stitching are remarkable. Worth every dollar spent.,2025-05-26,5,Casual Blazer,True
Very poor experience. The suit took six weeks longer than promised and the quality did not justify the premium price. Communication was minimal and I had to chase constantly for updates.,2025-05-26,1,Business Suit,True
Great service from a knowledgeable team. My business suit fits well and looks sharp. The process was longer than expected but the quality justifies the time. Will return.,2025-05-26,4,Business Suit,False
Outstanding quality and attention to detail. Suresh took the time to understand exactly what I needed for my wedding. The final suit exceeded all expectations. Truly bespoke.,2025-05-27,5,Business Suit,True
